Språk,Wikipedia-sida,Extern länk,Wikipedia-länk,Domän
en,Vickers Varsity,http://www.kringla.nu/kringla/objekt?referens=S-FV/object/FVM100038,https://en.wikipedia.org/wiki/Vickers_Varsity,www.kringla.nu
en,Wikipedia:Articles for deletion/Randi Marainen,http://www.kringla.nu/kringla/sok?text=marainen+randi&referens=ajtte/objekt/17111,https://en.wikipedia.org/wiki/Wikipedia:Articles_for_deletion/Randi_Marainen,www.kringla.nu
en,Wikipedia:Articles for deletion/Log/2018 August 10,http://www.kringla.nu/kringla/sok?text=marainen+randi&referens=ajtte/objekt/17111,https://en.wikipedia.org/wiki/Wikipedia:Articles_for_deletion/Log/2018_August_10,www.kringla.nu
en,Angarn Church,http://www.kringla.nu/kringla/objekt?referens=raa/bbr/21300000004868,https://en.wikipedia.org/wiki/Angarn_Church,www.kringla.nu
en,Drothem Church,http://www.kringla.nu/kringla/objekt?referens=raa/bbr/21300000004240,https://en.wikipedia.org/wiki/Drothem_Church,www.kringla.nu
en,"St. Lawrence's Church, Söderköping",http://www.kringla.nu/kringla/objekt?referens=raa/bbr/21300000004240,"https://en.wikipedia.org/wiki/St._Lawrence's_Church,_Söderköping",www.kringla.nu
en,Marstrand Church,http://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000443040,https://en.wikipedia.org/wiki/Marstrand_Church,www.kringla.nu
en,Folke Zettervall,http://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000581294,https://en.wikipedia.org/wiki/Folke_Zettervall,www.kringla.nu
en,Stora Hästnäs,http://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000698879,https://en.wikipedia.org/wiki/Stora_Hästnäs,www.kringla.nu
en,Gann Church,http://www.kringla.nu/kringla/objekt?referens=raa/kmb/16001000145184,https://en.wikipedia.org/wiki/Gann_Church,www.kringla.nu
en,Hilding Mickelsson,http://www.kringla.nu/kringla/sok?text=Mickelsson&filter=serviceOrganization%3Ds-hm,https://en.wikipedia.org/wiki/Hilding_Mickelsson,www.kringla.nu
en,Ås Abbey,http://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000581669,https://en.wikipedia.org/wiki/Ås_Abbey,www.kringla.nu
en,Hassle,http://www.kringla.nu/kringla/objekt?referens=shm/media/34485,https://en.wikipedia.org/wiki/Hassle,www.kringla.nu
en,Gustavus Adolphus Day,http://www.kringla.nu/kringla/objekt;jsessionid=9175C5255B5BD0E318BC33BB3C6F7D78?referens=GSM/objekt/51986,https://en.wikipedia.org/wiki/Gustavus_Adolphus_Day,www.kringla.nu
en,Jenny Wallerstedt,https://www.kringla.nu/kringla/objekt?referens=S-BL/photo/BLMATE000771,https://en.wikipedia.org/wiki/Jenny_Wallerstedt,www.kringla.nu
en,Battle of Lützen (1632),http://www.kringla.nu/kringla/objekt;jsessionid=9175C5255B5BD0E318BC33BB3C6F7D78?referens=GSM/objekt/51986,https://en.wikipedia.org/wiki/Battle_of_Lützen_(1632),www.kringla.nu
en,Læstadiuspörtet,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21000001705921,https://en.wikipedia.org/wiki/Læstadiuspörtet,www.kringla.nu
en,Bofors 57 mm anti-tank gun,https://www.kringla.nu/kringla/objekt?referens=arme/object/AM016986,https://en.wikipedia.org/wiki/Bofors_57_mm_anti-tank_gun,www.kringla.nu
en,Betty Olsson,https://www.kringla.nu/kringla/objekt?referens=S-OM/photo/OMPAO001075,https://en.wikipedia.org/wiki/Betty_Olsson,www.kringla.nu
en,Pehr W. Palmroth,https://www.kringla.nu/kringla/objekt?referens=raa/bbrp/21600000003401,https://en.wikipedia.org/wiki/Pehr_W._Palmroth,www.kringla.nu
en,Salsta Castle,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000356409,https://en.wikipedia.org/wiki/Salsta_Castle,www.kringla.nu
en,Halmstad City Hall,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000172000,https://en.wikipedia.org/wiki/Halmstad_City_Hall,www.kringla.nu
en,Saab 35 Draken,https://www.kringla.nu/kringla/objekt?referens=wws/object/795,https://en.wikipedia.org/wiki/Saab_35_Draken,www.kringla.nu
en,Tängelgårda stones,https://kringla.nu/kringla/objekt?itemLabel=4373&referens=shm/object/108186,https://en.wikipedia.org/wiki/Tängelgårda_stones,kringla.nu
en,Tängelgårda stones,https://kringla.nu/kringla/objekt?itemLabel=4373&referens=shm/object/108200,https://en.wikipedia.org/wiki/Tängelgårda_stones,kringla.nu
en,Tängelgårda stones,https://kringla.nu/kringla/objekt?itemLabel=4373&referens=shm/object/44501,https://en.wikipedia.org/wiki/Tängelgårda_stones,kringla.nu
en,"Velinga Parish, Sweden",https://kringla.nu/kringla/,"https://en.wikipedia.org/wiki/Velinga_Parish,_Sweden",kringla.nu
en,Uddevalla,https://kringla.nu/kringla/objekt?referens=raa/bbr/21400000579822,https://en.wikipedia.org/wiki/Uddevalla,kringla.nu
en,Samuel Fahlberg,https://kringla.nu/kringla/objekt?referens=SMVK-EM/objekt/1241022,https://en.wikipedia.org/wiki/Samuel_Fahlberg,kringla.nu
es,Henriette Sjöberg,https://kringla.nu/kringla/objekt?referens=GSM/objekt/958983,https://es.wikipedia.org/wiki/Henriette_Sjöberg,kringla.nu
es,Henriette Sjöberg,https://kringla.nu/kringla/objekt?referens=nomu/object/NM0302698%2B,https://es.wikipedia.org/wiki/Henriette_Sjöberg,kringla.nu
es,Henriette Sjöberg,https://kringla.nu/kringla/objekt?referens=SLM/item/275707,https://es.wikipedia.org/wiki/Henriette_Sjöberg,kringla.nu
es,Iglesia de San Lorenzo (Söderköping),http://www.kringla.nu/kringla/objekt?referens=raa/bbr/21300000004240,https://es.wikipedia.org/wiki/Iglesia_de_San_Lorenzo_(Söderköping),www.kringla.nu
es,Vickers Varsity,http://www.kringla.nu/kringla/objekt?referens=S-FV/object/FVM100038,https://es.wikipedia.org/wiki/Vickers_Varsity,www.kringla.nu
fi,Gamla bankhuset,http://www.kringla.nu/kringla/objekt;jsessionid=9DA2CF186646A09807E1405BB8F63937?referens=raa/bbr/21400000585951&flik=1,https://fi.wikipedia.org/wiki/Gamla_bankhuset,www.kringla.nu
fi,Nousiaisten kaularengas,http://www.kringla.nu/kringla/objekt?referens=shm/object/109068,https://fi.wikipedia.org/wiki/Nousiaisten_kaularengas,www.kringla.nu
fi,Wikipedia:Kahvihuone (tekijänoikeudet)/Arkisto 25,http://www.kringla.nu/kringla/objekt?referens=shm/object/109068,https://fi.wikipedia.org/wiki/Wikipedia:Kahvihuone_(tekijänoikeudet)/Arkisto_25,www.kringla.nu
fi,Pilen kätkö,http://www.kringla.nu/kringla/objekt?referens=shm/location/180,https://fi.wikipedia.org/wiki/Pilen_kätkö,www.kringla.nu
fi,Pirtanauha,https://www.kringla.nu/kringla/objekt?referens=shm/object/120034,https://fi.wikipedia.org/wiki/Pirtanauha,www.kringla.nu
ha,Betty Olsson,https://www.kringla.nu/kringla/objekt?referens=S-OM/photo/OMPAO001075,https://ha.wikipedia.org/wiki/Betty_Olsson,www.kringla.nu
it,Myrra Malmberg,http://www.kringla.nu/kringla/objekt?referens=GSM/event/796126,https://it.wikipedia.org/wiki/Myrra_Malmberg,www.kringla.nu
it,Tore Billing,https://kringla.nu/kringla/,https://it.wikipedia.org/wiki/Tore_Billing,kringla.nu
ja,ガムラ・バンク・フーセット,http://www.kringla.nu/kringla/objekt;jsessionid=9DA2CF186646A09807E1405BB8F63937?referens=raa/bbr/21400000585951&flik=1,https://ja.wikipedia.org/wiki/ガムラ・バンク・フーセット,www.kringla.nu
nn,Hornlue,http://www.kringla.nu/kringla/objekt?referens=ajtte/objekt/14409,https://nn.wikipedia.org/wiki/Hornlue,www.kringla.nu
no,Gamla bankhuset,http://www.kringla.nu/kringla/objekt;jsessionid=9DA2CF186646A09807E1405BB8F63937?referens=raa/bbr/21400000585951&flik=1,https://no.wikipedia.org/wiki/Gamla_bankhuset,www.kringla.nu
no,Skobrodder,http://www.kringla.nu/kringla/objekt?referens=shm/object/448574,https://no.wikipedia.org/wiki/Skobrodder,www.kringla.nu
no,Hornlue,http://www.kringla.nu/kringla/objekt?referens=ajtte/objekt/14409,https://no.wikipedia.org/wiki/Hornlue,www.kringla.nu
no,Nasa sølvgruver,http://www.kringla.nu/kringla/objekt?referens=raa/fmi/10016003620001,https://no.wikipedia.org/wiki/Nasa_sølvgruver,www.kringla.nu
no,Nasa sølvgruver,http://www.kringla.nu/kringla/objekt?referens=raa/fmi/10016003680001,https://no.wikipedia.org/wiki/Nasa_sølvgruver,www.kringla.nu
no,Stora Teatern,https://kringla.nu/kringla/,https://no.wikipedia.org/wiki/Stora_Teatern,kringla.nu
no,Anna Tibell-Hegert,https://www.kringla.nu/kringla/objekt?referens=GSM/name/806416,https://no.wikipedia.org/wiki/Anna_Tibell-Hegert,www.kringla.nu
no,Hans Viksten,http://www.kringla.nu/kringla/objekt?referens=S-XLM/object/XLM30248,https://no.wikipedia.org/wiki/Hans_Viksten,www.kringla.nu
no,Norges Kirkebygninger i Middelalderen,https://www.kringla.nu/kringla/,https://no.wikipedia.org/wiki/Norges_Kirkebygninger_i_Middelalderen,www.kringla.nu
no,Norges Kirkebygninger i Middelalderen,https://www.kringla.nu/kringla/objekt?referens=raa/bbrb/21420000029065,https://no.wikipedia.org/wiki/Norges_Kirkebygninger_i_Middelalderen,www.kringla.nu
no,Norges Kirkebygninger i Middelalderen,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000549727,https://no.wikipedia.org/wiki/Norges_Kirkebygninger_i_Middelalderen,www.kringla.nu
no,Norges Kirkebygninger i Middelalderen,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000549723,https://no.wikipedia.org/wiki/Norges_Kirkebygninger_i_Middelalderen,www.kringla.nu
no,Norges Kirkebygninger i Middelalderen,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000443294,https://no.wikipedia.org/wiki/Norges_Kirkebygninger_i_Middelalderen,www.kringla.nu
no,Norges Kirkebygninger i Middelalderen,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000443290,https://no.wikipedia.org/wiki/Norges_Kirkebygninger_i_Middelalderen,www.kringla.nu
no,Norges Kirkebygninger i Middelalderen,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000443031,https://no.wikipedia.org/wiki/Norges_Kirkebygninger_i_Middelalderen,www.kringla.nu
no,Norges Kirkebygninger i Middelalderen,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000244466,https://no.wikipedia.org/wiki/Norges_Kirkebygninger_i_Middelalderen,www.kringla.nu
no,Norges Kirkebygninger i Middelalderen,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000443040,https://no.wikipedia.org/wiki/Norges_Kirkebygninger_i_Middelalderen,www.kringla.nu
no,Norges Kirkebygninger i Middelalderen,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000200819,https://no.wikipedia.org/wiki/Norges_Kirkebygninger_i_Middelalderen,www.kringla.nu
no,Norges Kirkebygninger i Middelalderen,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000239664,https://no.wikipedia.org/wiki/Norges_Kirkebygninger_i_Middelalderen,www.kringla.nu
no,Norges Kirkebygninger i Middelalderen,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000197893,https://no.wikipedia.org/wiki/Norges_Kirkebygninger_i_Middelalderen,www.kringla.nu
no,Norges Kirkebygninger i Middelalderen,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000443043,https://no.wikipedia.org/wiki/Norges_Kirkebygninger_i_Middelalderen,www.kringla.nu
no,Norges Kirkebygninger i Middelalderen,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21300000002709,https://no.wikipedia.org/wiki/Norges_Kirkebygninger_i_Middelalderen,www.kringla.nu
no,Norges Kirkebygninger i Middelalderen,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000443039,https://no.wikipedia.org/wiki/Norges_Kirkebygninger_i_Middelalderen,www.kringla.nu
no,Norges Kirkebygninger i Middelalderen,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000443304,https://no.wikipedia.org/wiki/Norges_Kirkebygninger_i_Middelalderen,www.kringla.nu
no,Norges Kirkebygninger i Middelalderen,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000549688,https://no.wikipedia.org/wiki/Norges_Kirkebygninger_i_Middelalderen,www.kringla.nu
no,Norges Kirkebygninger i Middelalderen,https://www.kringla.nu/kringla/objekt?text=Hede+kyrka&filter=province%3Dbo&referens=raa/bbr/21400000443289,https://no.wikipedia.org/wiki/Norges_Kirkebygninger_i_Middelalderen,www.kringla.nu
no,Norges Kirkebygninger i Middelalderen,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000443293,https://no.wikipedia.org/wiki/Norges_Kirkebygninger_i_Middelalderen,www.kringla.nu
no,Norges Kirkebygninger i Middelalderen,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000443325,https://no.wikipedia.org/wiki/Norges_Kirkebygninger_i_Middelalderen,www.kringla.nu
no,Norges Kirkebygninger i Middelalderen,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000443315,https://no.wikipedia.org/wiki/Norges_Kirkebygninger_i_Middelalderen,www.kringla.nu
no,Norges Kirkebygninger i Middelalderen,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000443320,https://no.wikipedia.org/wiki/Norges_Kirkebygninger_i_Middelalderen,www.kringla.nu
no,Norges Kirkebygninger i Middelalderen,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000443324,https://no.wikipedia.org/wiki/Norges_Kirkebygninger_i_Middelalderen,www.kringla.nu
no,Norges Kirkebygninger i Middelalderen,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000443310,https://no.wikipedia.org/wiki/Norges_Kirkebygninger_i_Middelalderen,www.kringla.nu
no,Norges Kirkebygninger i Middelalderen,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000443312,https://no.wikipedia.org/wiki/Norges_Kirkebygninger_i_Middelalderen,www.kringla.nu
no,Norges Kirkebygninger i Middelalderen,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000443368,https://no.wikipedia.org/wiki/Norges_Kirkebygninger_i_Middelalderen,www.kringla.nu
no,Norges Kirkebygninger i Middelalderen,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000443305,https://no.wikipedia.org/wiki/Norges_Kirkebygninger_i_Middelalderen,www.kringla.nu
no,Norges Kirkebygninger i Middelalderen,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000443044,https://no.wikipedia.org/wiki/Norges_Kirkebygninger_i_Middelalderen,www.kringla.nu
no,Norges Kirkebygninger i Middelalderen,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000443033,https://no.wikipedia.org/wiki/Norges_Kirkebygninger_i_Middelalderen,www.kringla.nu
no,Norges Kirkebygninger i Middelalderen,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000443042,https://no.wikipedia.org/wiki/Norges_Kirkebygninger_i_Middelalderen,www.kringla.nu
no,Norges Kirkebygninger i Middelalderen,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000549639,https://no.wikipedia.org/wiki/Norges_Kirkebygninger_i_Middelalderen,www.kringla.nu
no,Norges Kirkebygninger i Middelalderen,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000443072,https://no.wikipedia.org/wiki/Norges_Kirkebygninger_i_Middelalderen,www.kringla.nu
no,Norges Kirkebygninger i Middelalderen,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000443071,https://no.wikipedia.org/wiki/Norges_Kirkebygninger_i_Middelalderen,www.kringla.nu
no,Norges Kirkebygninger i Middelalderen,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000443070,https://no.wikipedia.org/wiki/Norges_Kirkebygninger_i_Middelalderen,www.kringla.nu
no,Norges Kirkebygninger i Middelalderen,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000443670,https://no.wikipedia.org/wiki/Norges_Kirkebygninger_i_Middelalderen,www.kringla.nu
no,Norges Kirkebygninger i Middelalderen,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000443334,https://no.wikipedia.org/wiki/Norges_Kirkebygninger_i_Middelalderen,www.kringla.nu
no,Norges Kirkebygninger i Middelalderen,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000443335,https://no.wikipedia.org/wiki/Norges_Kirkebygninger_i_Middelalderen,www.kringla.nu
no,Norges Kirkebygninger i Middelalderen,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000443345,https://no.wikipedia.org/wiki/Norges_Kirkebygninger_i_Middelalderen,www.kringla.nu
no,Norges Kirkebygninger i Middelalderen,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000443351,https://no.wikipedia.org/wiki/Norges_Kirkebygninger_i_Middelalderen,www.kringla.nu
no,Norges Kirkebygninger i Middelalderen,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000444077,https://no.wikipedia.org/wiki/Norges_Kirkebygninger_i_Middelalderen,www.kringla.nu
no,Norges Kirkebygninger i Middelalderen,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000443083,https://no.wikipedia.org/wiki/Norges_Kirkebygninger_i_Middelalderen,www.kringla.nu
