Språk,Wikipedia-sida,Extern länk,Wikipedia-länk,Domän,lang_code,lang_name,domain,wiki,year,legacy_dspace,status,error,elapsed,is_broken,repair_reason,migration_hint
da,Sune Lindqvist,http://samla.raa.se/xmlui/bitstream/handle/raa/799/1926_307.pdf?sequence=1,https://da.wikipedia.org/wiki/Sune_Lindqvist,raa.se,da,dansk,samla.raa.se,,1926,True,404.0,,0.08574,True,RAA DSpace XMLUI migration,https://samla.raa.se/discover?query=1926_307.pdf%3Fsequence%3D1
da,Vendeltiden,http://samla.raa.se/xmlui/bitstream/handle/raa/2429/1981_008.pdf?sequence=1,https://da.wikipedia.org/wiki/Vendeltiden,raa.se,da,dansk,samla.raa.se,,1981,True,404.0,,0.07402,True,RAA DSpace XMLUI migration,https://samla.raa.se/discover?query=1981_008.pdf%3Fsequence%3D1
