Språk,Wikipedia-sida,Extern länk,Wikipedia-länk,Domän,lang_code,lang_name,domain,wiki,year,legacy_dspace,status,error,elapsed,is_broken,failure_type
an,Jean-Jacques Rousseau,https://kulturarvsdata.se/LSH/agents/59539,https://an.wikipedia.org/wiki/Jean-Jacques_Rousseau,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.055836,True,hard_404
an,Frederico II d'o Sacro Imperio Romano Chermanico,https://kulturarvsdata.se/LSH/agents/53095,https://an.wikipedia.org/wiki/Frederico_II_d'o_Sacro_Imperio_Romano_Chermanico,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.057138,True,hard_404
an,Constantín VII,https://kulturarvsdata.se/LSH/agents/41366,https://an.wikipedia.org/wiki/Constantín_VII,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.057332,True,hard_404
an,León VI o Sabio,https://kulturarvsdata.se/LSH/agents/61755,https://an.wikipedia.org/wiki/León_VI_o_Sabio,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.056987,True,hard_404
an,Francisco de Quevedo,https://kulturarvsdata.se/LSH/agents/55801,https://an.wikipedia.org/wiki/Francisco_de_Quevedo,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.053942,True,hard_404
an,Pierre de Marivaux,https://kulturarvsdata.se/LSH/agents/56883,https://an.wikipedia.org/wiki/Pierre_de_Marivaux,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.059208,True,hard_404
an,Poggio Bracciolini,https://kulturarvsdata.se/LSH/agents/44215,https://an.wikipedia.org/wiki/Poggio_Bracciolini,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.060695,True,hard_404
an,Bernard le Bovier de Fontenelle,https://kulturarvsdata.se/LSH/agents/64192,https://an.wikipedia.org/wiki/Bernard_le_Bovier_de_Fontenelle,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.060325,True,hard_404
an,León III,https://kulturarvsdata.se/LSH/agents/54990,https://an.wikipedia.org/wiki/León_III,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.057362,True,hard_404
an,Claudio Ptolomeu,https://kulturarvsdata.se/LSH/agents/46760,https://an.wikipedia.org/wiki/Claudio_Ptolomeu,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.056931,True,hard_404
an,Jean-Baptiste Rousseau,https://kulturarvsdata.se/LSH/agents/49604,https://an.wikipedia.org/wiki/Jean-Baptiste_Rousseau,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.058584,True,hard_404
an,François Rabelais,https://kulturarvsdata.se/LSH/agents/60751,https://an.wikipedia.org/wiki/François_Rabelais,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.055802,True,hard_404
an,Hans Sloane,https://kulturarvsdata.se/LSH/agents/43370,https://an.wikipedia.org/wiki/Hans_Sloane,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.058446,True,hard_404
an,Alexis de Tocqueville,https://kulturarvsdata.se/LSH/agents/64927,https://an.wikipedia.org/wiki/Alexis_de_Tocqueville,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.057182,True,hard_404
an,Alessandro Scarlatti,https://kulturarvsdata.se/LSH/agents/63697,https://an.wikipedia.org/wiki/Alessandro_Scarlatti,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.057443,True,hard_404
an,Johann Mattheson,https://kulturarvsdata.se/LSH/agents/44783,https://an.wikipedia.org/wiki/Johann_Mattheson,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.056602,True,hard_404
an,Carlos IV d'o Sacro Imperio Romano Chermanico,https://kulturarvsdata.se/LSH/agents/43889,https://an.wikipedia.org/wiki/Carlos_IV_d'o_Sacro_Imperio_Romano_Chermanico,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.055396,True,hard_404
an,Estrabón,https://kulturarvsdata.se/LSH/agents/60826,https://an.wikipedia.org/wiki/Estrabón,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.057604,True,hard_404
an,Pierre Corneille,https://kulturarvsdata.se/LSH/agents/58404,https://an.wikipedia.org/wiki/Pierre_Corneille,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.054998,True,hard_404
an,Chuan III Sobieski,https://kulturarvsdata.se/LSH/agents/61784,https://an.wikipedia.org/wiki/Chuan_III_Sobieski,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.059475,True,hard_404
an,Erasmo de Rotterdam,https://kulturarvsdata.se/LSH/agents/62465,https://an.wikipedia.org/wiki/Erasmo_de_Rotterdam,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.057128,True,hard_404
an,Chaime II d'Anglaterra,https://kulturarvsdata.se/LSH/agents/46730,https://an.wikipedia.org/wiki/Chaime_II_d'Anglaterra,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.05864,True,hard_404
an,Carlos VI de Francia,https://kulturarvsdata.se/LSH/agents/48050,https://an.wikipedia.org/wiki/Carlos_VI_de_Francia,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.059122,True,hard_404
an,Jean Racine,https://kulturarvsdata.se/LSH/agents/45262,https://an.wikipedia.org/wiki/Jean_Racine,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.057765,True,hard_404
an,Carlos III d'Aragón,https://kulturarvsdata.se/LSH/agents/47839,https://an.wikipedia.org/wiki/Carlos_III_d'Aragón,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.055579,True,hard_404
an,Robert Boyle,https://kulturarvsdata.se/LSH/agents/47781,https://an.wikipedia.org/wiki/Robert_Boyle,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.055405,True,hard_404
an,Carlo Goldoni,https://kulturarvsdata.se/LSH/agents/46469,https://an.wikipedia.org/wiki/Carlo_Goldoni,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.055055,True,hard_404
an,Guillaume-Thomas Raynal,https://kulturarvsdata.se/LSH/agents/48944,https://an.wikipedia.org/wiki/Guillaume-Thomas_Raynal,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.054071,True,hard_404
an,Giovanni Boccaccio,https://kulturarvsdata.se/LSH/agents/46741,https://an.wikipedia.org/wiki/Giovanni_Boccaccio,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.056384,True,hard_404
an,Lucrecio,https://kulturarvsdata.se/LSH/agents/54710,https://an.wikipedia.org/wiki/Lucrecio,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.058072,True,hard_404
an,Francesco Guicciardini,https://kulturarvsdata.se/LSH/agents/41483,https://an.wikipedia.org/wiki/Francesco_Guicciardini,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.057266,True,hard_404
an,Plauto,https://kulturarvsdata.se/LSH/agents/42897,https://an.wikipedia.org/wiki/Plauto,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.058575,True,hard_404
an,Horacio,https://kulturarvsdata.se/LSH/agents/41538,https://an.wikipedia.org/wiki/Horacio,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.056444,True,hard_404
an,Hesíodo,https://kulturarvsdata.se/LSH/agents/41402,https://an.wikipedia.org/wiki/Hesíodo,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.054864,True,hard_404
an,Gayo Valerio Catulo,https://kulturarvsdata.se/LSH/agents/49011,https://an.wikipedia.org/wiki/Gayo_Valerio_Catulo,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.054777,True,hard_404
an,Torquato Tasso,https://kulturarvsdata.se/LSH/agents/50106,https://an.wikipedia.org/wiki/Torquato_Tasso,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.05534,True,hard_404
