"19512887","S. Nicolaus och S. Clemens, Visby, Gotland","1977","9174020137 (invalid)","Stockholm : Almqvist & Wiksell International","Bohrn, Erik, 1906-1993","7014","S. Nicolaus och S. Clemens, Visby, Gotland"
"19512885","Kumla kyrkor : Kumla härad, Närke","1976","9174020072 (invalid)","Stockholm : Almqvist & Wiksell international","Bonnier, Ann Catherine, 1942-","7011","Kumla kyrkor"
"19512888","Köpings kyrkor : Slättbo härad, Öland","1977","9174020218 (invalid)","Stockholm : Almqvist & Wiksell international","Boström, Ragnhild, 1917-2016","7015","Köpings kyrkor"
"19512905","Vickleby kyrka : Algutsrums härad, Öland","1983","['9171925570 (invalid)', '9171925589 (invalid)']","Stockholm : Almqvist & Wiksell international","Boström, Ragnhild, 1917-2016.","7038","Vickleby kyrka"
"19512901","Varnhems klosterkyrka : Valle härad, Västergötland","1982","['9171925198 (invalid)', '917192518 (invalid)']","Stockholm : Almqvist & Wiksell international","Edenheim, Ralph, 1948-","7035","Varnhems klosterkyrka"
"19512894","Värö och Stråvalla kyrkor, Viske härad, Halland","1979","['9174020633 (invalid)', '917402065 (invalid)']","Stockholm : Almqvist & Wiksell international","Lindgren, Mereth, 1936-2000","7025","Värö och Stråvalla kyrkor, Viske härad, Halland"
"19512881","Kalmar gamla stads kyrkor","1976","['917192146 (invalid)', '9174020242 (invalid)']","Stockholm : Almqvist & Wiksell international","Olsson, Martin, 1886-1981","7007","['Kalmar gamla stads kyrkor', 'Kalmar gamla stads kyrkor']"
"19512908","Läckö slottskyrka : Västergötland","1985","['912200744 (invalid)', '9122007466 (invalid)']","Stockholm : Almqvist & Wiksell international","Rosell, Ingrid, 1927-2015.","7043","Läckö slottskyrka"
"19512916","Venngarns slottskapell","1988","['9171927247 (invalid)', '9171927220 (invalid)']","Stockholm : Almqvist & Wiksell International","Rosell, Ingrid, 1927-2015.","7051","Venngarns slottskapell"
"19512891","Visby domkyrka.","1978","['9174020846 (invalid)', '9174020706 (invalid)']","Stockholm : Almqvist & Wiksell International","Svahnström, Gunnar, 1915-2012.","7020","['Visby domkyrka', 'Visby domkyrka.']"
"19512971","Vadstena klosterkyrka.","1983","['9171925651 (invalid)', '917192566 (invalid)']","Stockholm : Almqvist & Wiksell International","","7039","['Vadstena klosterkyrka', 'Vadstena klosterkyrka.']"
"19512972","Vadstena klosterkyrka.","1985","['9171926313 (invalid)', '9171926321 (invalid)']","Stockholm : Almqvist & Wiksell International","","7041","['Vadstena klosterkyrka', 'Vadstena klosterkyrka.']"
"19512994","Sorunda kyrka : Sotholms härad, Södermanland band III:1","1972","9171920250 (invalid)","Stockholm : Almqvist & Wiksell","Bennett, Robert, 1942-","6991","Sorunda kyrka"
"19512965","Ösmo kyrka : Sotholms härad, Södermanland band III:2","1973","9171921141 (invalid)","Stockholm : Almqvist & Wiksell","Bennett, Robert, 1942-","6997","Ösmo kyrka"
"19512932","Näs kyrka : Grötlinge ting, Gotland","1998","['9172091371 (invalid)', '917209138 (invalid)']","Stockholm : Riksantikvarieämbetet","Bergman, Mats, 1950-2000","7069","Näs kyrka"
"19512973","Silte kyrka : Hablinge ting, Gotland","1993","['9171928669 (invalid)', '9171928677 (invalid)']","Stockholm : Almqvist & Wiksell International","Bergman, Mats, 1950-2000","7060","Silte kyrka"
"19512906","Enköpings kyrkor : Åsunda härad, Uppland","1984","['9171926267 (invalid)', '9171926259 (invalid)']","Stockholm : Almqvist & Wiksell international","Bonnier, Ann Catherine, 1942-","7040","Enköpings kyrkor"
"19512866","Fittja kyrka : Lagunda härad, Uppland band XII:2","1970","","Stockholm : Almqvist & Wiksell","Bonnier, Ann Catherine, 1942-","6985","Fittja kyrka"
"19512862","Kulla och Hjälsta kyrkor : Lagunda härad, Uppland band XII:1","1970","","Stockholm : Almqvist & Wiksell","Bonnier, Ann Catherine, 1942-","6979","Kulla och Hjälsta kyrkor"
"19512943","Böda och S:t Olof : Åkers härad, Öland band 1:2","1968","","Stockholm : Almqvist & Wiksell","Boström, Ragnhild, 1917-2016","6961","Böda och S:t Olof"
"19512874","Långlöts kyrkor","1973","9171921125 (invalid)","Stockholm : Almqvist & Wiksell","Boström, Ragnhild, 1917-2016.","6996","Långlöts kyrkor"
"19512861","Persnäs kyrkor.","1970","","Stockholm","Boström, Ragnhild, 1917-2016.","6978","Persnäs kyrkor."
"19512863","Habo kyrka : Vartofta härad, Västergötland band II:1","1970","","Stockholm : Almqvist & Wiksell","Cnattingius, Lars D., 1936-","6980","Habo kyrka"
"19512865","Kyrkorna i Vä : Gärds härad, Skåne band III:1","1971","","Stockholm : Almqvist & Wiksell","Græbe, Henrik, 1934-","6984","Kyrkorna i Vä"
"19512869","Barsebäcks och Hofterups kyrkor : Harjagers härad, Skåne band I:2","1972","","Stockholm : Almqvist & Wiksell","Holmberg, Rikard, 1935-2007","6989","Barsebäcks och Hofterups kyrkor"
"19512854","Härkeberga kyrka : Trögds härad, Uppland band IX:1","1968","","Stockholm : Almqvist & Wiksell","Kilström, Bengt Ingmar, 1922-2006","6968","Härkeberga kyrka"
"19512856","Litslena kyrka : Trögds härad, Uppland band IX:2","1969","","Stockholm : Almqvist & Wiksell","Kilström, Bengt Ingmar, 1922-2006","6972","Litslena kyrka"
"19512864","Alva kyrka.","1970","","Stockholm","Lagerlöf, Erland, 1928-2014.","6982","Alva kyrka."
"19512877","Eke kyrka","1974","9171921400 (invalid)","Stockholm : Almqvist & Wiksell","Lagerlöf, Erland, 1928-2014.","7001","Eke kyrka"
"19512870","Garde kyrka","1972","9171920269 (invalid)","Stockholm : Almqvist & Wiksell","Lagerlöf, Erland, 1928-2014.","6990","Garde kyrka"
"19512860","Hemse kyrkor","1969","","Stockholm","Lagerlöf, Erland, 1928-2014.","6976","Hemse kyrkor"
"19512884","Lau kyrka","1975","9174020188 (invalid)","Stockholm : Almqvist & Wiksell","Lagerlöf, Erland, 1928-2014.","7010","Lau kyrka"
"19512929","Levide kyrka : Fardhems ting, Gotland","1996","['9172090286 (invalid)', '9172090456 (invalid)']","Stockholm : Riksantikvarieämbetet : Almqvist & Wiksell International","Lagerlöf, Erland, 1928-2014.","7065","Levide kyrka"
"19512873","Rone kyrka","","9171920625 (invalid)","","Lagerlöf, Erland, 1928-2014.","6995","Rone kyrka"
"19512855","Stånga kyrka","1968","","Stockholm : Almqvist & Wiksell","Lagerlöf, Erland, 1928-2014.","6970","Stånga kyrka"
"19512992","Bergunda och Öja kyrkor : Kinnevalds härad, Småland band V:1","1970","","Stockholm : Almqvist & Wiksell","Liepe, Anita, 1936-","6983","Bergunda och Öja kyrkor"
"19512872","Löddeköpinge och Högs kyrkor : Harjagers härad, Skåne band I:3","1972","9171920374 (invalid)","Stockholm : Almqvist & Wiksell","Liepe, Anita, 1936-","6993","Löddeköpinge och Högs kyrkor"
"19512995","Åseda och Älghults kyrkor : Uppvidinge härad, Småland band VI:1","1974","9171921559 (invalid)","Stockholm : Almqvist & Wiksell","Liepe, Anita, 1936-","7002","Åseda och Älghults kyrkor"
"19512859","Sparrsätra och Breds kyrkor","1969","","Stockholm","Rosell, Ingrid, 1927-2015.","6975","Sparrsätra och Breds kyrkor"
"19512876","Veckholms kyrka : Trögds härad, Uppland","1974","9171921451 (invalid)","Stockholm : Almqvist & Wiksell","Rosell, Ingrid, 1927-2015.","7000","Veckholms kyrka"
"19512928","Gerums kyrka : Fardhems ting, Gotland","1994","['9171929215 (invalid)', '9171929223 (invalid)']","Stockholm : Almqvist & Wiksell International","Stolt, Bengt, 1923-","7064","Gerums kyrka"
"19512961","Drevs och Hornaryds kyrkor : Uppvidinge härad, Småland band II:2","1968","","Uppsala : Almqvist & Wiksell","Ullén, Marian, 1934-","6965","Drevs och Hornaryds kyrkor"
"19512962","Dädesjö och Eke kyrkor : Uppvidinge härad, Småland band II:3","1969","","Stockholm : Almqvist & Wiksell","Ullén, Marian, 1934-","6971","Dädesjö och Eke kyrkor"
"19513001","Torshälla kyrka : Västerrekarne härad","1981","['9171925007 (invalid)', '917192499 (invalid)']","Stockholm : Almqvist & Wiksell international","Bennett, Robert, 1942-","7032","Torshälla kyrka"
"19512902","Sproge kyrka : Hablinge ting, Gotland","1982","['9171925392 (invalid)', '9171925384 (invalid)']","Stockholm : Almqvist & Wiksell international","Bergman, Mats, 1950-2000","7036","Sproge kyrka"
"19512897","Bredsättra kyrkor, Runstens härad, Öland","1980","['9171924655 (invalid)', '9171924647 (invalid)']","Stockholm : Almqvist & Wiksell international","Boström, Ragnhild, 1917-2016","7028","Bredsättra kyrkor, Runstens härad, Öland"
